"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Honorius";33;21;47.6723;2.2857144
"sous";203;12;13.375;3.8333335
"Empereurs";90;8;10.5521;1.125
"règne";38;6;9.6107;2.3333333
"d'";2676;23;7.4769;2.652174
"rétablis";6;3;6.7109;2.3333333
"Chrétiens";267;7;5.66;3.857143
"Consulat";13;3;5.5604;4.0
"Theodosius";2;2;5.3391;3.0
"Chrysostome";68;4;4.8177;5.75
"Spectacles";391;7;4.5882;7.8571424
"poursuite";4;2;4.5622;7.5
"voulurent";6;2;4.1655;4.0
"et";7449;33;4.0255;3.2727275
"donnèrent";7;2;4.02;1.0
"Theodore";7;2;4.02;6.0
"accordait";7;2;4.02;1.0
"Empereur";111;4;3.9828;1.75
"contentement";11;2;3.6043;6.5
"Provinces";12;2;3.5258;9.5
"Majuma";13;2;3.4538;7.5
"dignes";66;3;3.393;6.0
"Jeux";446;6;3.3471;7.166667
"Antiquité";15;2;3.326;7.0
"figures";15;2;3.326;8.5
"aucunes";18;2;3.1643;7.5
"défendent";20;2;3.0715;4.5
"régler";21;2;3.0287;5.0
"illustre";22;2;2.9879;7.0
"intelligence";25;2;2.8762;10.0
"souillés";25;2;2.8762;8.0
"après";230;4;2.7918;2.75
"loi";119;3;2.6525;3.0
"impudence";34;2;2.6099;9.5
"Théodose";37;2;2.5373;1.0
"lois";147;3;2.3942;5.6666665
"Aussi";53;2;2.2313;1.0
"doute";56;2;2.1849;4.5
"S";345;4;2.167;6.5
"mettre";61;2;2.113;6.5
