"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Philippe";33;11;20.4567;0.0
"Roi";121;8;9.0332;0.875
"vivait";8;4;8.5936;1.0
"exposât";3;3;7.8255;6.3333335
"prémices";3;3;7.8255;6.6666665
"consacra";4;3;7.2242;4.6666665
"Royauté";4;3;7.2242;9.666667
"ignorait";5;3;6.8271;9.0
"lutte";6;3;6.5269;4.6666665
"chassa";7;3;6.2846;4.0
"France";28;4;6.1445;3.25
"Pleix";2;2;5.2164;3.0
"naissance";25;3;4.4814;2.3333333
"avancée";4;2;4.4396;8.0
"Empire";28;3;4.3301;5.3333335
"Romain";28;3;4.3301;3.0
"fit";98;4;3.9574;1.75
"crut";7;2;3.8977;2.5
"combats";40;3;3.8603;6.6666665
"accoutumé";44;3;3.7362;9.0
"assister";50;3;3.5708;7.0
"application";13;2;3.3321;4.0
"nus";14;2;3.2659;7.0
"Edit";14;2;3.2659;3.5
"voulut";15;2;3.2044;1.0
"souffrir";71;3;3.1227;3.3333335
"femmes";190;4;2.8717;7.25
"Parlement";22;2;2.867;8.0
"sous";203;4;2.7668;0.0
"aux";1087;9;2.7567;5.0
"hors";27;2;2.6888;8.5
"Empereur";111;3;2.5654;0.0
"contraire";132;3;2.3543;5.6666665
"yeux";135;3;2.3272;9.333333
"Athlètes";45;2;2.2512;7.5
"avaient";158;3;2.1389;10.0
"sa";487;5;2.1177;8.2
"exprès";58;2;2.0378;4.5
