"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"S";345;128;145.2662;1.1875
".";6697;235;39.5489;2.812766
"Saint";124;24;20.2695;0.41666663
"saint";160;20;13.213;0.70000005
"livre";81;14;11.4181;5.5
"dit";850;40;10.9036;2.45
"Cité";14;7;9.6568;5.857143
"Varron";23;8;9.4234;5.75
"lu";38;8;7.501;4.25
"que";5061;110;6.2846;4.2272725
"parle";151;12;6.0202;2.9166667
"évidemment";16;5;5.8098;5.0
"passage";44;7;5.7595;3.142857
"écrit";67;8;5.5234;3.0
"Dissertation";453;20;5.4076;7.25
"Théologie";51;7;5.3143;5.0
"selon";291;15;4.9949;4.866667
"Acteurs";295;15;4.9249;6.6666665
"couler";5;3;4.6467;9.0
"regardé";5;3;4.6467;9.0
"aux";1087;32;4.4703;5.90625
"Confessions";6;3;4.35;3.0
"énorme";17;4;4.2008;5.25
"remarque";20;4;3.9058;1.75
"de";11325;195;3.8522;5.4307694
"2";86;7;3.8219;7.0
"Cicéron";88;7;3.7594;3.5714288
"soutenait";2;2;3.7586;0.0
"Prédestination";2;2;3.7586;7.5
"226";3;2;3.2853;5.5
"fabuleuse";29;4;3.2565;5.0
"Histrions";214;10;3.2011;4.6
"donner";151;8;3.0162;4.625
"devons";34;4;2.9887;5.0
"Donner";4;2;2.9881;4.0
"Donare";4;2;2.9881;7.5
"Flore";17;3;2.8657;5.3333335
"ce";1986;43;2.8381;4.8139534
"laisse";38;4;2.805;7.5
"droit";64;5;2.7956;6.0
"loué";5;2;2.7701;6.0
"formé";5;2;2.7701;4.5
"tolérable";5;2;2.7701;3.5
"Réfutation";131;7;2.7265;6.0
"témoignage";40;4;2.7213;3.0
"passages";19;3;2.7205;2.6666667
"paroles";249;10;2.7083;4.2
"lecture";67;5;2.707;5.4
"Auteur";340;12;2.6638;6.1666665
"chapitre";69;5;2.6506;6.0
"accroire";6;2;2.5978;3.0
"argument";6;2;2.5978;2.5
"étend";6;2;2.5978;1.5
"S'";23;3;2.4757;6.3333335
"allégories";7;2;2.4555;9.5
"précédent";7;2;2.4555;6.5
"permet";24;3;2.4219;2.0
"tronqué";8;2;2.3344;7.5
"chap";26;3;2.3217;4.3333335
"Ecclésiastique";26;3;2.3217;4.6666665
"donnent";54;4;2.2454;5.5
"13";9;2;2.2291;4.5
"infamie";206;8;2.1881;6.625
"Comédiens";296;10;2.1824;5.7
"règles";30;3;2.1451;7.666667
"comprend";30;3;2.1451;2.0
"Déesse";10;2;2.136;3.5
"fausse";32;3;2.0666;7.666667
"commis";11;2;2.0526;7.5
"simplement";11;2;2.0526;7.5
"e";134;6;2.0426;6.3333335
"a";1304;28;2.0132;5.357143
"les";7221;72;-2.1753;5.5972223
"d'";2676;20;-2.471;6.05
"pour";1697;10;-2.5844;4.6
"qu'";4068;34;-2.6193;6.0588236
"ils";1621;9;-2.6966;7.4444447
"à";3221;22;-3.4513;3.4545455
"et";7449;64;-3.9597;5.84375
"une";1225;2;-4.9041;6.5
