"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Venus";16;7;13.1093;2.2857144
"Technites";8;4;7.9603;2.5
"à";3221;35;7.9331;3.885714
"bouc";3;3;7.3497;6.6666665
"consacré";13;4;6.9573;1.0
"honneur";153;7;5.821;2.142857
"Autels";11;3;5.1415;6.6666665
"gâtait";2;2;4.8994;9.0
"sacrifiait";2;2;4.8994;1.0
"dura";2;2;4.8994;3.0
"suppôts";2;2;4.8994;1.0
"dévoués";2;2;4.8994;0.5
"liaisons";2;2;4.8994;7.0
"Théâtre";550;10;4.4523;5.2
"Bouc";3;2;4.4233;4.5
"éloignant";4;2;4.1233;6.0
"insolentes";4;2;4.1233;10.0
"sanctuaire";4;2;4.1233;4.5
"droite";5;2;3.9024;2.5
"récits";6;2;3.7274;8.0
"Bacchanales";6;2;3.7274;6.5
"considérés";6;2;3.7274;4.0
"appelait";6;2;3.7274;4.5
"grandes";33;3;3.6474;4.6666665
"plaintes";8;2;3.4584;7.0
"Chœurs";10;2;3.2544;6.5
"fantômes";10;2;3.2544;9.5
"tué";11;2;3.1682;4.5
"ennemi";11;2;3.1682;1.0
",";17175;86;2.9985;4.523256
"intérêts";14;2;2.9526;3.0
"firent";14;2;2.9526;4.0
"artisans";15;2;2.8915;1.0
"reconnaît";15;2;2.8915;1.0
"louanges";17;2;2.7812;1.0
"ayant";148;4;2.6932;5.0
"Athènes";19;2;2.6838;3.5
"Scéniques";151;4;2.6616;5.5
"Musique";20;2;2.6391;8.0
"milieu";21;2;2.5966;2.0
"employés";21;2;2.5966;5.5
"consacrés";22;2;2.5562;1.0
"pompe";22;2;2.5562;8.5
"peu";166;4;2.5136;4.0
"Cela";30;2;2.2895;5.0
"propos";30;2;2.2895;8.5
"fit";98;3;2.2764;4.0
"mains";34;2;2.1831;9.5
"Prêtres";35;2;2.1586;2.0
"service";35;2;2.1586;3.5
"Idoles";36;2;2.1348;7.0
"toutes";352;5;2.0484;8.0
"la";5537;7;-3.0577;6.714286
