"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"S";345;51;55.4097;1.9803922
".";6697;101;19.2677;3.118812
"saint";160;13;11.2449;1.1538463
"Saint";124;11;10.0302;0.09090912
"Salvien";22;5;6.9805;5.0
"Majuma";13;4;6.2564;4.0
"poursuite";4;3;6.2198;2.6666667
"condamne";117;7;5.4437;1.8571429
"prédications";7;3;5.283;4.6666665
"blasphémateurs";2;2;4.5464;7.0
"réjouissant";2;2;4.5464;1.0
"omettront";2;2;4.5464;3.0
"Jean";14;3;4.2781;0.0
"autrefois";43;4;4.0747;1.75
"continuer";3;2;4.0708;4.0
"étrangères";3;2;4.0708;7.5
"Cyprien";51;4;3.7829;6.0
"défendaient";4;2;3.7714;8.5
"Patriarche";4;2;3.7714;1.0
"témoignages";5;2;3.5511;6.0
"abandonné";5;2;3.5511;9.0
"Arcadius";27;3;3.3955;5.3333335
"servant";6;2;3.3765;3.5
"Martyr";6;2;3.3765;5.5
"Tertullien";118;5;3.3416;7.2
"Chrysostome";68;4;3.301;9.0
"laissa";7;2;3.2319;1.0
"accordait";7;2;3.2319;5.0
"399";7;2;3.2319;7.0
"défendait";8;2;3.1085;6.0
"formels";8;2;3.1085;5.0
"dit";850;13;3.0933;1.5384614
"fut";137;5;3.0482;1.0
"abolir";36;3;3.0235;1.3333333
"sujet";153;5;2.8352;6.2
"expose";12;2;2.7423;4.5
"fit";98;4;2.7088;2.25
"Baronius";13;2;2.6713;7.0
"réponse";14;2;2.6059;3.0
"voir";282;6;2.3613;5.0
"occasions";19;2;2.3396;7.5
"6";23;2;2.1756;5.5
"au";757;10;2.0782;4.8
"désordre";26;2;2.0714;3.0
"occasion";27;2;2.0395;6.5
"et";7449;23;-2.5931;5.695652
