"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Roscius";39;13;18.3097;4.923077
"dit";850;31;12.8584;2.2580645
"République";51;10;11.6528;6.2
"Comédien";53;10;11.4747;4.5
"Esope";18;7;10.6775;6.857143
"Scipion";19;7;10.4805;4.714286
"livres";61;8;7.9878;3.0
"Macrobe";25;6;7.7866;5.8333335
"Oraison";7;4;7.1197;4.5
"livre";81;8;7.0022;3.625
"parle";151;10;6.9304;3.3000002
"estimant";9;4;6.5682;2.0
"témoignage";40;6;6.4888;2.8333333
"fameux";5;3;5.4966;2.0
"Edile";5;3;5.4966;1.6666667
"charge";21;4;4.92;9.0
"apprend";76;6;4.8246;2.8333333
"raconte";9;3;4.5813;4.6666665
"Cicéron";88;6;4.4607;6.6666665
"Saturnales";2;2;4.3279;9.0
"Lilius";2;2;4.3279;9.0
"Giraldus";2;2;4.3279;10.0
"faisait";63;5;4.1178;1.4000001
"Tragédien";13;3;4.0581;9.0
"composés";3;2;3.8527;1.0
"estime";72;5;3.8409;0.79999995
"Augustin";164;7;3.8122;3.5714288
"devoirs";21;3;3.4084;6.0
"que";5061;56;3.3444;3.5357141
"de";11325;108;3.3223;5.240741
"apprenons";6;2;3.1597;1.0
"exprès";58;4;3.157;5.75
"eût";102;5;3.1397;4.6
"Maxime";26;3;3.1284;3.3333335
",";17175;152;3.0247;4.144737
"Probus";7;2;3.0156;7.5
"distingue";9;2;2.7855;5.0
"prouve";9;2;2.7855;4.0
"Orateur";9;2;2.7855;3.5
"art";186;6;2.7161;7.0
"témoigne";36;3;2.7118;5.0
"Nous";129;5;2.6863;3.0
"parlant";41;3;2.5488;4.0
"applaudissement";12;2;2.5281;6.5
"Sénèque";14;2;2.3926;2.0
"voyez";15;2;2.3324;3.0
"dans";2264;27;2.3169;3.2962961
"Religion";171;5;2.1675;4.8
"acte";19;2;2.1285;6.0
"paroles";249;6;2.1032;3.8333335
"infâmes";179;5;2.0863;8.4
"excellent";20;2;2.0847;9.0
"remarque";20;2;2.0847;0.5
"Romains";115;4;2.0782;6.25
"écrits";21;2;2.0432;1.0
"approuvé";22;2;2.0038;7.5
"on";1685;4;-2.0001;7.5
"ils";1621;3;-2.3638;7.0
"à";3221;10;-2.5012;5.2
"qui";3609;7;-4.6177;7.285714
