"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
".";6697;38;13.2507;5.3421054
"preuve";23;4;7.6131;0.75
"tirée";9;3;6.7402;1.0
"pag";84;4;5.302;5.75
"Antonin";8;2;4.3285;3.0
"célèbres";15;2;3.7571;5.5
"2";86;3;3.6867;4.3333335
"plusieurs";100;3;3.4939;3.0
"Dissertation";453;5;3.4577;6.2
"Théologiens";23;2;3.3781;6.5
"selon";291;4;3.2129;0.0
"S";345;4;2.9395;5.0
"La";157;3;2.9251;3.6666665
"proposition";44;2;2.8132;2.0
"voyons";58;2;2.576;3.5
"dessus";62;2;2.5191;6.5
"chapitre";69;2;2.4281;8.0
"ensuite";75;2;2.3574;4.5
"dit";850;5;2.2672;6.0
"ci";105;2;2.0746;6.5
