"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Empereur";111;18;27.973;0.22222221
"retrancha";10;6;13.7437;0.0
"superstition";71;8;11.4469;6.125
"toute";210;10;10.3825;5.3
"révérence";32;5;8.1002;9.6
"après";230;6;4.9521;3.5
"souvient";3;2;4.8747;7.0
"purent";3;2;4.8747;9.0
"négligés";3;2;4.8747;1.0
"ayant";148;5;4.7494;1.4000001
"Idolâtres";4;2;4.5743;1.0
"Dissertation";453;7;4.2244;7.1428576
"rejetés";6;2;4.1776;6.0
"l'";4169;22;3.9604;2.3181818
"Temples";44;3;3.934;4.6666665
"proposition";44;3;3.934;7.333333
"la";5537;26;3.7634;6.4615383
"défendit";11;2;3.6163;5.0
"société";14;2;3.3995;3.0
"statues";14;2;3.3995;6.5
"Gladiateurs";16;2;3.2806;9.0
"des";4561;21;3.0464;4.285714
"Spectacles";391;5;2.8032;2.8
"entrer";30;2;2.7298;6.0
"Cirque";118;3;2.6799;4.3333335
"Jeux";446;5;2.5569;4.8
"règne";38;2;2.5262;2.0
"Christianisme";40;2;2.4822;3.0
"rapporte";40;2;2.4822;8.0
"autrefois";43;2;2.4205;2.0
"prouver";44;2;2.4009;8.0
"assister";50;2;2.2922;8.0
"eut";56;2;2.1965;3.5
"Chrétienne";59;2;2.1526;9.5
"profession";62;2;2.1109;5.5
"ici";67;2;2.0461;6.5
