"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Monseigneur";32;24;56.7191;2.9583333
"Prince";110;26;44.0648;1.3076923
"feu";41;7;11.223;4.142857
"Traité";22;6;11.035;5.3333335
"le";3534;33;10.8102;3.060606
"de";11325;57;7.6469;2.6842105
"Spectacles";391;10;7.5263;6.4
"Comédie";468;10;6.8042;7.3
"Altesse";11;3;5.7324;4.6666665
"composé";21;3;4.8333;2.6666667
"traité";29;3;4.4002;4.0
"Vie";7;2;3.9763;7.0
"Princesse";10;2;3.6473;1.0
"a";1304;10;3.0487;3.9
"Madame";20;2;3.0282;3.0
"M";26;2;2.799;4.0
"zèle";26;2;2.799;4.0
"la";5537;24;2.6728;6.2083335
"touchant";41;2;2.4068;0.0
"dans";2264;12;2.2188;5.25
"donné";57;2;2.1279;10.0
