"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"M";26;9;21.0156;2.0
"Théodore";3;3;9.1518;4.0
"empêche";9;3;7.2293;7.0
"sieur";2;2;6.0994;0.0
"vers";92;4;5.7867;4.75
"contagieux";6;2;4.9244;8.0
"Horace";7;2;4.7785;7.0
"Martyre";9;2;4.5449;9.0
"rage";9;2;4.5449;2.0
"mes";70;3;4.4328;10.0
"tué";11;2;4.3614;9.5
"Toutes";11;2;4.3614;6.0
"parler";83;3;4.2116;1.0
"de";11325;24;4.0262;2.3333333
"guère";19;2;3.8708;10.0
"termes";110;3;3.8484;4.0
"âme";118;3;3.7585;8.0
"mon";130;3;3.6347;7.0
"bouche";28;2;3.5286;3.0
"Si";145;3;3.4956;6.0
"voici";33;2;3.3847;10.0
"met";34;2;3.3587;0.0
"Seigneur";42;2;3.1747;6.0
"doute";56;2;2.9257;4.0
"pièces";59;2;2.8808;4.0
"prend";61;2;2.8521;8.0
"honnête";63;2;2.8243;7.0
".";6697;14;2.5077;2.7142856
"représente";105;2;2.3886;0.0
"ces";1286;5;2.1994;4.2
"avait";424;3;2.171;7.333333
