"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"saint";160;20;22.9885;0.45000005
"S";345;24;21.2904;1.2916667
"Epître";17;10;19.6603;2.2
"Euchratius";8;8;19.1473;1.75
".";6697;70;11.7291;3.8142858
"Saint";124;11;11.2865;0.0
"tiré";29;6;8.7159;5.8333335
"Donat";7;4;8.0306;3.75
"Epitre";5;3;6.1799;3.0
"servis";10;3;5.1073;7.666667
"Majolus";2;2;4.7844;9.5
"Epit";2;2;4.7844;3.0
"bouffons";18;3;4.2853;7.666667
"enseigne";19;3;4.212;6.3333335
"Canon";52;4;4.2052;9.5
"Salvien";22;3;4.0148;1.6666667
"insérée";4;2;4.0086;2.0
"dilectione";4;2;4.0086;7.5
"interdit";26;3;3.7926;3.0
"écrit";67;4;3.7742;3.0
"Chrysostome";68;4;3.7492;6.0
"Martyr";6;2;3.613;0.0
"pro";7;2;3.4681;8.5
"Lucas";8;2;3.3443;5.5
"Penna";8;2;3.3443;7.5
"observer";10;2;3.1406;4.5
"Communion";13;2;2.9052;2.0
"Tertullien";118;4;2.8445;3.0
"Canonique";14;2;2.8395;7.0
"Réfutation";131;4;2.6787;5.75
"e";134;4;2.643;6.0
"grands";66;3;2.5994;6.0
"Tragédies";356;6;2.4445;5.3333335
"jouaient";27;2;2.2684;6.0
"pouvons";28;2;2.2373;6.5
"personnages";29;2;2.2075;4.0
"lequel";33;2;2.098;7.5
"rapporté";34;2;2.0728;2.5
"dit";850;9;2.0581;2.7777777
"différence";35;2;2.0484;2.5
"III";36;2;2.0248;4.0
"ne";2485;3;-2.025;1.6666667
"qu'";4068;7;-2.1544;5.714286
