"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"gloriatus";3;3;8.8365;9.666667
"manus";3;3;8.8365;6.0
"goûté";3;3;8.8365;3.6666665
"sum";4;3;8.2348;8.666667
"Roi";121;5;6.4831;0.0
"douceur";16;3;6.093;5.6666665
"tuae";2;2;5.8896;5.0
"facie";2;2;5.8896;7.0
"divine";26;3;5.4299;9.666667
"délivré";6;2;4.7148;5.0
"saint";160;4;4.4256;3.0
"vanités";12;2;4.0733;5.0
"demande";38;2;3.0544;0.0
"vous";651;5;3.0122;8.2
"semblables";51;2;2.8001;4.0
"pénitence";51;2;2.8001;1.5
"Dieu";565;4;2.3782;4.75
"Prince";110;2;2.147;5.0
"aussi";346;3;2.1259;2.6666667
"le";3534;10;2.1012;2.7
"loi";119;2;2.0813;9.0
"était";361;3;2.0758;0.33333337
