"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"sont";1085;26;7.3125;4.6153846
"invention";17;5;7.1028;2.2
"hommage";3;3;6.5184;8.666667
"ouvrage";34;5;5.4911;1.0
"sacrifier";7;3;4.9831;1.0
"malice";10;3;4.4545;1.0
"exorcisa";2;2;4.3453;8.0
"encens";2;2;4.3453;5.0
"confesses";2;2;4.3453;6.5
"pure";11;3;4.3184;4.0
"rendait";12;3;4.1957;1.0
"maîtres";12;3;4.1957;2.3333333
"pompes";34;4;4.0952;2.0
"sacrifice";13;3;4.0839;2.0
"Idolâtrie";67;5;4.0304;6.4
"viennent";14;3;3.9813;7.0
"assurément";3;2;3.8702;4.0
"tyrannie";3;2;3.8702;1.0
"frères";3;2;3.8702;4.0
"enseignes";3;2;3.8702;1.0
"embellir";3;2;3.8702;6.5
"allée";3;2;3.8702;9.5
"du";1546;24;3.7271;1.4166667
"aux";1087;19;3.699;1.7368422
"possédée";4;2;3.5711;2.0
"purifiés";4;2;3.5711;6.0
"renoncé";19;3;3.567;3.6666665
"un";1739;25;3.3659;4.6
"victoires";5;2;3.3512;7.5
"auteurs";5;2;3.3512;5.0
"sortie";5;2;3.3512;2.5
"Démons";23;3;3.3138;3.0
"détestable";23;3;3.3138;5.6666665
"persuade";6;2;3.177;1.0
"considérés";6;2;3.177;4.0
"parce";361;9;3.0598;5.3333335
"introduites";7;2;3.0329;5.0
"tendent";7;2;3.0329;8.0
"abominables";8;2;2.9099;7.5
"Mystères";8;2;2.9099;6.5
"offrir";8;2;2.9099;3.0
"femme";69;4;2.9056;6.5
"Spectacles";391;9;2.8211;5.0
"vieille";9;2;2.8027;8.0
"Oui";9;2;2.8027;1.0
"relever";9;2;2.8027;3.0
"abolir";36;3;2.7366;6.0
"demandent";11;2;2.6225;2.0
"?";626;11;2.4048;2.8181818
"reste";47;3;2.4042;7.0
"honteux";51;3;2.3041;7.666667
"artifice";16;2;2.2933;1.0
"énorme";17;2;2.2409;7.0
"unes";17;2;2.2409;5.0
"trouva";19;2;2.1453;3.0
"vain";19;2;2.1453;4.0
"Baptême";20;2;2.1015;6.5
"peste";21;2;2.06;2.5
"faits";22;2;2.0205;4.0
"Pourquoi";22;2;2.0205;4.0
