"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Roscius";39;13;26.7366;2.8461537
"Cicéron";88;8;11.7595;7.0
"Tragédien";13;4;8.4025;0.5
"Acteur";25;4;7.1611;1.5
"Comédien";53;4;5.8115;3.75
"familiarité";3;2;5.1473;9.0
"fameux";5;2;4.6253;5.0
"étroite";5;2;4.6253;8.0
"joua";7;2;4.3039;8.0
"parlait";9;2;4.0708;1.5
"faisait";63;3;3.8685;6.0
"jouait";12;2;3.8088;7.0
"estime";72;3;3.6963;9.0
"ami";14;2;3.6702;1.0
"il";3802;16;3.4516;4.75
"excellent";20;2;3.3532;0.0
"avait";424;5;3.2501;6.2
"tire";23;2;3.2302;4.5
"lesquels";31;2;2.9694;4.0
"montré";40;2;2.7487;9.0
"auparavant";43;2;2.6865;6.0
"certain";56;2;2.4604;3.5
"appelle";59;2;2.416;4.5
"Histrions";214;3;2.3351;3.6666665
"endroit";71;2;2.2592;9.0
"Tragédie";79;2;2.1694;2.0
"exemple";88;2;2.079;8.5
"donne";95;2;2.0153;7.0
"la";5537;2;-2.0737;10.0
"les";7221;3;-2.395;6.6666665
