"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"S";345;10;9.8156;2.1
"repaît";3;3;8.5048;5.0
"terrenis";3;3;8.5048;5.3333335
"quippe";3;3;8.5048;4.3333335
"actibus";3;3;8.5048;3.3333335
"valde";3;3;8.5048;1.0
"frigescit";3;3;8.5048;2.0
"animus";3;3;8.5048;3.0
"intima";3;3;8.5048;9.0
"saint";160;7;8.275;0.8571428
"Pierre";15;4;8.2123;1.75
"In";5;3;7.5057;6.3333335
"explication";14;3;5.9489;2.3333333
"necdum";2;2;5.6688;6.0
"fuerit";2;2;5.6688;7.5
"Nysse";2;2;5.6688;1.0
"joies";18;3;5.6002;8.0
"dona";3;2;5.1921;9.5
"vaines";25;3;5.1535;7.0
"exercices";39;3;4.5609;8.333333
"per";6;2;4.4944;8.5
"Budée";8;2;4.2241;3.5
"Charles";17;2;3.5416;7.0
"Grégoire";19;2;3.4429;8.0
"selon";291;4;3.0194;3.5
"lorsqu'";135;3;2.964;2.0
"dit";850;6;2.7573;2.5
"appelle";59;2;2.4595;0.0
"monde";217;3;2.3803;10.0
".";6697;19;2.2716;3.631579
"les";7221;3;-2.2091;7.333333
