"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Père";49;13;25.5417;0.15384614
"Jésuite";13;7;16.6364;0.0
"P";6;3;7.2085;2.3333333
"Le";179;6;6.4957;1.1666667
"rapporte";40;4;6.4035;0.5
"réponse";14;3;5.9522;4.6666665
"répond";15;3;5.8558;1.0
"permissions";2;2;5.671;9.5
"impétrées";2;2;5.671;5.5
"12";20;3;5.4592;8.0
"expérience";21;3;5.3927;6.0
"obtenues";3;2;5.1943;3.5
".";6697;26;5.0567;4.3076925
"considéré";12;2;3.8556;5.0
"chapitre";69;3;3.82;9.0
"bannit";14;2;3.717;10.0
"Pierre";15;2;3.6552;1.0
"dit";850;7;3.5319;4.714286
"Espagne";18;2;3.493;6.0
"Après";24;2;3.2393;5.0
"Philippe";33;2;2.9614;7.0
"du";1546;8;2.6518;5.375
"II";48;2;2.638;8.0
"aient";74;2;2.2697;6.5
"paroles";249;3;2.2182;4.0
