"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Arcadius";27;21;48.6672;2.2857144
"Empereurs";90;10;13.07;3.5
"sous";203;12;12.2361;5.0
"règne";38;7;10.9446;3.4285712
"rétablis";6;4;9.1161;5.0
"d'";2676;26;7.4709;1.7307692
"Chrétiens";267;8;6.0942;5.75
"an";90;5;5.3033;6.2
"Theodosius";2;2;5.144;1.0
"396";2;2;5.144;5.0
"Empereur";111;5;4.8586;1.8
"obligea";3;2;4.6676;2.0
"98";3;2;4.6676;6.5
"malade";4;2;4.3674;4.5
"lois";147;5;4.2733;4.4
"furent";86;4;4.0391;6.25
"voulurent";6;2;3.971;2.0
"Théodose";37;3;3.856;3.6666665
"donnèrent";7;2;3.8256;3.5
"399";7;2;3.8256;10.0
"et";7449;37;3.4832;3.4864864
"contentement";11;2;3.4106;4.0
"Provinces";12;2;3.3322;7.0
"Antiquité";15;2;3.1328;9.5
"figures";15;2;3.1328;6.0
"dignes";66;3;3.111;9.0
"Gladiateurs";16;2;3.0756;5.0
"aucunes";18;2;2.9717;5.0
"défendent";20;2;2.8791;2.0
"régler";21;2;2.8365;3.0
"pag";84;3;2.808;6.0
"fils";23;2;2.7571;0.0
"place";28;2;2.5866;4.0
"après";230;4;2.4425;4.25
"tenir";38;2;2.3248;2.0
"par";1620;11;2.3029;4.4545455
"assister";50;2;2.0928;8.0
"Aussi";53;2;2.044;3.0
