"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Christ";96;95;197.5545;0.9684211
"-";1826;118;65.2919;1.2881355
"membre";7;7;14.6411;1.0
"orate";6;6;12.5489;7.833333
"crucifié";7;6;11.7068;1.6666667
"enfant";13;7;11.4251;6.714286
"nous";1088;34;10.2127;5.352941
"Seigneur";42;8;8.7678;0.0
"Notre";17;5;6.7006;1.2
"emploi";8;4;6.5313;4.0
"Dieu";565;19;6.5006;5.8421054
"Sine";3;3;6.2736;8.666667
"intermissione";3;3;6.2736;7.666667
"Priez";3;3;6.2736;4.6666665
"discontinuation";3;3;6.2736;2.0
"Vigilate";3;3;6.2736;7.0
"imprimés";3;3;6.2736;3.6666665
"dues";3;3;6.2736;1.0
"enrichi";3;3;6.2736;8.0
"considère";43;6;5.8753;7.5
"Croix";11;4;5.8664;2.25
"ensevelis";4;3;5.6742;1.0
"continuation";4;3;5.6742;4.0
"aimons";5;3;5.2789;5.3333335
"offrons";5;3;5.2789;7.333333
"embrasser";6;3;4.9805;9.0
"soldats";7;3;4.7401;1.0
"seulement";229;10;4.6625;8.2
"notre";193;9;4.4769;4.888889
"sacrement";2;2;4.1822;5.0
"amateurs";2;2;4.1822;1.0
"illuminé";2;2;4.1822;3.0
"remportons";2;2;4.1822;7.0
"Toutes";11;3;4.0772;5.0
"témoignent";11;3;4.0772;4.6666665
"mêmes";172;8;4.036;8.0
"vœu";12;3;3.9549;7.0
"conjure";12;3;3.9549;4.0
"On";141;7;3.7746;5.571429
"regardait";14;3;3.7415;5.0
"venu";3;2;3.7074;5.5
"essentielle";3;2;3.7074;8.0
"XXXI";3;2;3.7074;7.0
"relâcher";3;2;3.7074;5.0
"vigueur";3;2;3.7074;8.0
"agir";16;3;3.5597;10.0
"nos";172;7;3.2523;4.857143
"protection";5;2;3.1892;2.0
"faveurs";5;2;3.1892;6.0
"imitation";22;3;3.1361;8.0
"?";626;14;3.1274;2.7857144
"Martyr";6;2;3.0155;5.0
"morts";7;2;2.8717;8.0
"délivrer";7;2;2.8717;6.0
"comble";7;2;2.8717;3.0
"sommes";28;3;2.8241;2.6666667
"indigne";28;3;2.8241;10.0
"va";29;3;2.7792;7.0
"membres";8;2;2.7491;1.5
"offrir";8;2;2.7491;8.0
"vivre";30;3;2.7361;0.0
"glorieux";9;2;2.6423;6.5
"eux";164;6;2.629;6.5
"christianisme";11;2;2.4629;10.0
"conduit";11;2;2.4629;7.5
"de";11325;118;2.3988;3.5
"Jurisconsulte";12;2;2.3861;6.0
"célèbre";40;3;2.376;8.0
"par";1620;24;2.3741;5.7083335
"Quelle";13;2;2.3159;6.0
"vie";255;7;2.2868;4.142857
"attirer";14;2;2.2513;5.5
"Passion";15;2;2.1915;2.5
"fois";47;3;2.179;6.3333335
"grâce";47;3;2.179;8.0
"chrétienne";48;3;2.1536;8.0
"ennemis";16;2;2.1358;2.0
"Loi";16;2;2.1358;7.0
"heureux";16;2;2.1358;6.5
"vérité";95;4;2.1158;6.5
"parle";151;5;2.0929;6.8
"nom";152;5;2.0812;4.0
"N'";54;3;2.0126;5.0
"en";2808;12;-2.0115;5.5833335
"plus";1313;3;-2.2099;9.333333
"des";4561;16;-4.1305;6.5
