"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"comparant";6;5;14.924;7.0
"An";3;3;9.4145;8.0
"poterit";3;3;9.4145;9.0
"avec";669;9;8.6381;5.111111
"comedi";6;3;8.1142;10.0
"goûter";12;3;7.0742;6.0
"Anges";14;3;6.856;9.0
"sauraient";20;3;6.3616;5.0
"decidet";2;2;6.2741;9.5
"sagesse";31;3;5.7683;7.0
"habitant";5;2;5.2748;2.0
"domos";5;2;5.2748;3.0
"luteas";5;2;5.2748;4.0
"consumentur";5;2;5.2748;5.0
"velut";5;2;5.2748;6.0
"spirituelles";7;2;4.953;6.0
"Ce";192;4;4.8645;6.25
":";1276;7;4.3056;5.857143
"personnes";166;3;3.5783;6.0
"Qui";36;2;3.4819;1.0
"homme";181;3;3.4685;3.0
"sens";64;2;2.9826;4.0
"parole";67;2;2.9431;1.0
"en";2808;8;2.9255;5.375
