"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"tirés";10;5;11.9115;4.6
"Canons";29;6;11.5109;5.6666665
"S";345;11;11.455;1.0
"absolue";7;3;7.0405;3.3333335
"allégué";15;3;5.9301;7.666667
"deux";119;4;4.6006;5.75
"paroles";249;5;4.5461;3.1999998
"représentation";88;3;3.5803;6.3333335
"condamnation";24;2;3.2885;3.0
"Poèmes";111;3;3.2848;8.333333
"Saint";124;3;3.145;0.0
"mis";30;2;3.0933;5.0
".";6697;20;2.9097;2.1
"saint";160;3;2.8265;3.0
"ces";1286;7;2.6394;4.285714
"Dramatiques";92;2;2.1345;10.0
"selon";291;3;2.1011;3.6666665
"les";7221;2;-2.5887;2.5
