"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Roi";121;9;14.1473;2.7777777
"chassa";7;3;7.4952;9.0
"passaient";8;3;7.2914;4.0
"XIII";11;3;6.823;0.0
"autrement";14;3;6.4804;7.333333
"Déclaration";15;3;6.3838;4.6666665
"saint";160;5;6.2112;1.2
"Baptiste";3;2;5.5469;4.0
"S";345;5;4.5917;4.2
"du";1546;9;4.5895;3.1111112
"puisqu'";80;3;4.1475;7.0
"Jean";14;2;4.068;3.0
"sainteté";43;2;3.0795;6.0
"Paris";59;2;2.8064;7.5
".";6697;15;2.5717;4.9333334
"esprit";293;3;2.5105;8.333333
"temps";301;3;2.4778;2.3333333
"s'";1041;5;2.4226;4.2
