"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Anthemius";5;5;15.4709;1.8
"Empereurs";90;7;11.8247;4.571429
",";17175;35;6.2798;3.7714286
"Lilius";2;2;6.1824;3.0
"Giraldus";2;2;6.1824;4.0
"Gratian";2;2;6.1824;5.5
"469";2;2;6.1824;6.0
"voulurent";6;2;5.0072;2.0
"priver";8;2;4.7366;4.0
"défendirent";10;2;4.531;10.0
"an";90;3;4.2293;5.6666665
"Sénèque";14;2;4.2261;2.0
"Chrétiens";267;4;4.1294;7.5
"Valentinien";17;2;4.0523;6.5
"Maxime";26;2;3.6761;10.0
"Théodose";37;2;3.3671;1.5
"pu";41;2;3.2777;6.5
"Auteurs";56;2;3.0074;10.0
"Cicéron";88;2;2.6194;5.0
"loi";119;2;2.3632;3.0
"tous";487;3;2.12;8.0
