"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Histrions";214;8;7.7451;4.125
"Cicéron";88;6;7.4975;5.8333335
"Héraclides";2;2;5.3869;5.0
"Saturnales";2;2;5.3869;1.0
"estimés";28;3;4.5826;7.666667
"infâmes";179;5;4.4387;7.6000004
"dit";850;9;4.1311;2.6666667
"soutient";13;2;3.5012;0.0
"Sénèque";14;2;3.4349;10.0
"comprennent";18;2;3.2116;8.0
"rapport";21;2;3.0758;6.5
"que";5061;22;3.0746;2.8636363
"Fêtes";91;3;3.0546;3.6666665
"Aristote";23;2;2.9961;10.0
"Maxime";26;2;2.889;2.0
"paroles";249;4;2.753;5.5
"témoignage";40;2;2.517;2.5
"de";11325;37;2.4594;4.135135
"parle";151;3;2.428;0.33333337
"fables";51;2;2.31;6.0
":";1276;8;2.3001;5.625
"a";1304;8;2.2454;5.375
"ce";1986;10;2.0876;3.3000002
"entendre";67;2;2.0802;5.0
"infamie";206;3;2.0565;5.3333335
"la";5537;3;-2.4135;4.6666665
