"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Theodorus";7;7;19.5871;0.0
"Dictateur";18;8;17.7543;1.5
"élu";10;5;11.5872;1.4000001
"399";7;4;9.6442;4.75
"consulat";8;4;9.3437;2.0
"notable";4;3;7.7869;2.3333333
"sous";203;7;7.2997;3.7142859
"fut";137;6;6.9481;1.0
"an";90;5;6.3915;5.2
"Jeux";446;8;6.0928;6.0
"exécutaient";2;2;5.5913;7.0
"enjoignit";2;2;5.5913;2.0
"voués";2;2;5.5913;7.0
"voua";2;2;5.5913;3.5
"faire";552;8;5.4107;4.75
"Marcus";3;2;5.1146;10.0
"soigneusement";4;2;4.814;6.0
"exécuta";4;2;4.814;0.0
"appelaient";5;2;4.5927;6.0
"tenir";38;3;4.4804;3.3333335
"encore";369;6;4.4715;4.8333335
"Proconsul";6;2;4.417;0.0
"pareil";8;2;4.1469;6.5
"assemblées";56;3;3.9731;5.3333335
"vœu";12;2;3.7764;10.0
"cinq";14;2;3.6378;5.0
"Ce";192;4;3.5505;4.5
"pour";1697;10;3.306;4.2
"Senat";22;2;3.2369;3.0
"année";22;2;3.2369;7.0
"faite";46;2;2.5966;6.0
"ans";55;2;2.444;4.0
"grands";66;2;2.2893;7.0
"le";3534;13;2.2781;4.769231
"autant";77;2;2.1595;4.5
