"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"blâmé";7;5;12.9834;0.6
"reprochent";3;3;8.5793;9.0
"Théâtre";550;10;8.1173;5.8
"Tacite";17;4;8.071;3.75
"monté";7;3;7.037;2.0
"diffamer";2;2;5.7184;4.0
"paraissant";2;2;5.7184;6.0
"Dialogue";2;2;5.7184;5.5
"avoir";305;6;5.2933;2.0
"récité";5;2;4.7195;3.0
"sur";668;7;4.317;5.0
"Auteurs";56;3;4.1602;3.0
"écrit";67;3;3.9275;4.0
"Consul";13;2;3.8306;3.0
"Néron";18;2;3.54;2.0
"quatrième";20;2;3.4468;6.0
"Quand";25;2;3.2504;3.0
"fois";47;2;2.7024;7.0
"public";59;2;2.5078;10.0
"indignes";65;2;2.4253;10.0
"seul";70;2;2.3625;8.5
"pag";84;2;2.2086;10.0
"de";11325;6;-2.3686;8.5
