"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"S";345;10;8.9885;1.0
"glorifier";3;3;8.246;7.333333
"infecte";3;3;8.246;6.6666665
"Saint";124;6;6.9278;0.8333334
"consolation";8;3;6.5007;5.6666665
"rapportées";9;3;6.3252;8.333333
"nos";172;6;6.0915;4.8333335
"espérance";11;3;6.0332;3.6666665
"entretient";11;3;6.0332;3.0
"selon";291;7;5.9298;1.4285715
"soutient";13;3;5.7955;7.333333
"1600";2;2;5.4965;7.5
"écrivit";3;2;5.0199;2.0
"saint";160;5;4.9329;0.0
"divine";26;3;4.8444;4.6666665
"18";4;2;4.7193;3.0
"impertinentes";5;2;4.498;5.0
"toutes";352;6;4.3232;4.8333335
"Idole";8;2;4.0524;6.5
".";6697;27;4.0018;2.851852
"vaine";9;2;3.9438;8.0
"œuvres";54;3;3.881;3.3333335
"défendu";63;3;3.6818;2.0
"obliger";17;2;3.3706;10.0
"peste";21;2;3.184;8.5
"V";21;2;3.184;0.0
"peur";25;2;3.0312;7.0
"soient";140;3;2.674;7.333333
"Pape";49;2;2.4502;0.0
"nous";1088;7;2.4226;3.857143
"ville";57;2;2.3217;2.0
"actions";196;3;2.2649;6.3333335
"apprend";76;2;2.0796;5.5
