"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"dit";850;13;10.9036;3.1538463
"saint";160;7;9.2572;0.0
"procurée";3;3;8.9333;9.0
"baptême";5;3;7.934;9.333333
"comme";979;10;6.8929;4.6
"demandait";12;3;6.594;4.0
"salutaire";15;3;6.2794;3.0
"aveuglement";17;3;6.1056;4.0
"sacrement";2;2;5.954;7.0
"trouvèrent";2;2;5.954;8.0
"Écriture";31;3;5.2901;7.0
"Prophète";40;3;4.9512;3.0
"considère";43;3;4.8556;5.3333335
"sait";45;3;4.7957;4.0
"Elle";45;3;4.7957;5.0
"grâce";47;3;4.7384;4.0
"figure";8;2;4.5087;4.0
"Milan";27;2;3.4163;5.5
"lorsqu'";135;3;3.375;8.0
"On";141;3;3.32;7.333333
"parle";151;3;3.2335;9.0
"passe";37;2;3.1412;7.0
",";17175;32;2.8516;2.875
"cet";243;3;2.6413;5.0
"été";301;3;2.3809;10.0
"C'";325;3;2.2886;7.0
"S";345;3;2.2173;1.0
"Empereur";111;2;2.2013;5.0
"de";11325;4;-2.1608;4.25
