"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Lucas";8;8;25.567;1.0
"enseigne";19;7;17.6628;3.142857
"exclus";15;4;9.6307;9.5
"notés";65;5;9.0572;6.8
"dignités";22;4;8.9031;7.5
"infamie";206;5;6.5374;8.0
"Histrions";214;5;6.4557;6.2
"Majolus";2;2;6.3767;1.0
"parmi";109;4;6.0412;3.5
"Cyprien";51;3;5.2602;7.0
"ajoutant";6;2;5.2014;1.0
"Menochius";6;2;5.2014;2.5
"Euchratius";8;2;4.9307;5.5
"comme";979;6;4.3059;5.0
"entre";111;3;4.2452;3.0
"montent";34;2;3.6337;7.0
"compris";48;2;3.3329;6.0
"ajoute";57;2;3.1839;1.5
"sont";1085;5;3.1117;6.8
"autres";477;3;2.4121;2.0
"sur";668;3;2.0116;6.3333335
