"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Roi";121;21;31.6223;0.61904764
"Auguste";29;11;21.1223;0.0
"Espagne";18;8;16.1925;2.5
"Catholique";6;6;15.6141;0.6666666
"glorieuse";7;5;11.6898;2.2
"bannit";14;5;9.7168;1.8
"prémices";3;3;7.8042;7.666667
"IV";31;5;7.8034;1.5999999
"fin";67;6;7.6715;7.833333
"Etats";14;4;7.4151;7.25
"consacra";4;3;7.2029;5.6666665
"mémoire";48;5;6.8153;3.1999998
"Macédoine";5;3;6.8058;1.6666667
"chassa";7;3;6.2634;5.0
"sa";487;10;6.2253;8.2
"France";28;4;6.1164;3.75
"second";30;4;5.9916;0.0
"Philippe";33;4;5.82;3.0
"Jésuite";13;3;5.356;7.333333
"Pleix";2;2;5.2022;4.0
"Ambassadeur";2;2;5.2022;1.0
"Royaumes";2;2;5.2022;8.0
"II";48;4;5.1558;0.0
"1646";3;2;4.7258;4.5
"Rois";27;3;4.3576;4.0
"chassés";5;2;4.2043;8.5
"louer";5;2;4.2043;4.0
"Le";179;5;4.0057;4.4
"Comédiens";296;6;3.9328;4.3333335
"fit";98;4;3.9303;3.25
"banni";7;2;3.8836;6.0
"crut";7;2;3.8836;3.5
"rapporte";40;3;3.8395;6.3333335
"tolérer";8;2;3.7593;7.5
"paix";11;2;3.4683;7.5
"Edit";14;2;3.2518;4.5
"de";11325;47;3.1928;5.2765956
"véritablement";16;2;3.1331;1.0
"Guzman";16;2;3.1331;7.0
"quatrième";20;2;2.9364;0.0
"Parlement";22;2;2.853;9.0
"hors";27;2;2.6749;9.5
"Magistrats";29;2;2.6131;6.5
"saurait";33;2;2.5019;6.0
"vie";255;4;2.3865;9.75
"Père";49;2;2.1656;8.5
"sur";668;6;2.1365;5.6666665
"République";51;2;2.132;9.5
"d'";2676;14;2.0575;3.4285712
"exprès";58;2;2.0242;5.5
"Chrétienne";59;2;2.01;8.5
