"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"second";30;3;5.1484;0.0
"Galeria";4;2;5.0521;6.0
"efféminé";4;2;5.0521;5.0
"Luceia";6;2;4.6549;3.5
"ajoutant";6;2;4.6549;4.0
"marqué";7;2;4.5091;3.0
"appelle";59;3;4.2563;0.0
"savait";12;2;4.0135;1.0
"expressément";16;2;3.7553;9.0
"explique";18;2;3.6505;1.0
"termes";110;3;3.4542;5.3333335
"déjà";27;2;3.293;4.0
"mots";29;2;3.2305;6.0
"Pantomimes";30;2;3.2009;8.0
"exercice";35;2;3.0666;2.0
"postures";35;2;3.0666;10.0
"ai";169;3;2.9135;6.3333335
"lire";47;2;2.8115;2.5
"Aussi";53;2;2.7081;9.5
"dit";850;5;2.384;7.8
"veut";80;2;2.3571;7.5
"parler";83;2;2.326;4.5
"fort";90;2;2.2577;2.0
"eût";102;2;2.1526;6.5
"comme";979;5;2.1311;4.4
"son";627;4;2.1172;6.75
"Empereur";111;2;2.0819;6.5
