"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Dissertation";453;8;5.0348;5.25
"célébration";22;3;4.8004;4.3333335
"persuader";23;3;4.7404;5.0
"dit";850;10;4.6094;0.0
"Auteur";340;6;3.9124;6.1666665
"commençait";8;2;3.8721;3.5
"délibération";8;2;3.8721;8.0
"sacrés";49;3;3.7417;2.6666667
"honneur";153;4;3.4052;6.25
"Jeux";446;6;3.2855;6.0
"sentiment";70;3;3.2837;1.6666667
"Théâtre";550;6;2.8193;8.5
"doit";229;4;2.7559;8.5
"constant";28;2;2.7545;2.5
"propose";31;2;2.6664;0.0
"montrer";35;2;2.5619;6.0
"Dieux";271;4;2.4929;6.25
"parlant";41;2;2.4264;1.0
"que";5061;21;2.3112;3.3809524
"ce";1986;11;2.2846;3.818182
"gestes";49;2;2.2748;6.5
"Quant";51;2;2.241;8.0
"apprendre";55;2;2.1773;1.0
"dire";363;4;2.051;4.25
