"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Chrysostome";68;5;6.7702;5.0
"S";345;8;6.5742;4.625
"omettront";2;2;5.4965;7.5
"Martyr";6;2;4.3224;1.0
"Cyprien";51;3;3.9552;1.6666667
"servis";10;2;3.8474;8.0
"XI";14;2;3.5436;5.5
"apprend";76;3;3.4412;1.3333333
"long";17;2;3.3706;7.0
"impuretés";22;2;3.1431;8.5
"discours";101;3;3.0807;4.6666665
".";6697;24;2.9162;3.7916665
"personnages";29;2;2.9018;7.0
"condamne";117;3;2.8965;3.0
"Tertullien";118;3;2.8859;5.3333335
"disait";42;2;2.582;2.0
"autrefois";43;2;2.5619;1.0
"grands";66;2;2.1979;8.0
"spectacles";218;3;2.1381;7.666667
"trop";76;2;2.0796;6.0
"Comédies";697;5;2.054;5.0
"parler";83;2;2.0061;7.0
