"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Africain";5;5;14.0677;1.0
"Cicéron";88;7;9.9461;4.714286
"parle";151;7;8.2959;1.2857144
"ainsi";163;7;8.0658;2.2857144
"livres";61;5;7.3241;3.1999998
"jugeaient";6;3;7.1379;8.333333
"livre";81;5;6.701;3.8000002
"estimant";9;3;6.5162;7.0
"République";51;4;5.8792;9.5
"introduit";21;3;5.3226;0.0
"approuvé";22;3;5.2594;10.0
"composés";3;2;5.1473;7.0
"Romains";115;4;4.4712;7.0
"vos";78;3;3.5936;5.0
"dans";2264;12;3.5863;2.6666667
"écrits";21;2;3.3102;6.0
"témoigne";36;2;2.8397;0.0
"Scène";174;3;2.5864;4.3333335
"fables";51;2;2.5402;9.0
"jamais";195;3;2.4474;9.0
":";1276;7;2.3937;5.571429
"ces";1286;7;2.3756;5.714286
"que";5061;16;2.2128;2.5625
