"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"condamne";117;14;11.1911;1.4285715
"Spectacles";391;19;8.084;4.9473686
"Tragédies";356;18;7.9595;5.2222223
"Réfutation";131;11;7.3048;6.6363635
"dit";850;27;7.222;2.074074
"trompé";19;5;6.1446;3.1999998
".";6697;101;5.6089;4.4851484
"montre";44;6;5.4785;1.5
"passage";44;6;5.4785;2.3333333
"Dissertation";453;16;5.1199;5.625
"citation";6;3;4.8054;4.0
"général";41;5;4.409;4.2
"e";134;8;4.3931;5.875
"Comédies";697;19;4.3819;5.2105265
"cérémonies";42;5;4.3573;7.8
"Athlètes";45;5;4.2101;8.8
"Valets";2;2;4.0647;10.0
"étable";2;2;4.0647;8.0
"gagnent";2;2;4.0647;5.0
"austère";2;2;4.0647;2.0
"61";2;2;4.0647;7.5
"Pamelius";2;2;4.0647;2.0
"texte";11;3;3.904;1.0
"Auteurs";56;5;3.7517;7.6000004
"voyons";58;5;3.6793;3.8000002
"têtes";3;2;3.5903;4.0
"passant";14;3;3.5695;1.0
"Chrysostome";68;5;3.3556;7.2
"les";7221;95;3.2241;4.989474
"condamné";43;4;3.164;4.75
"ensuite";75;5;3.1598;2.6
"Où";20;3;3.0917;6.0
"Traité";22;3;2.9671;5.0
"Salvien";22;3;2.9671;5.3333335
"cité";6;2;2.8994;7.0
"genres";6;2;2.8994;6.5
"appareils";6;2;2.8994;5.5
"Martyr";6;2;2.8994;3.5
"Cyprien";51;4;2.8831;3.0
"que";5061;69;2.877;3.231884
"S";345;10;2.7813;5.3
"falsifié";7;2;2.7559;4.5
"raisons";56;4;2.7318;5.75
"traité";29;3;2.6129;4.6666665
"Enfin";61;4;2.5951;0.0
"mot";61;4;2.5951;3.75
"eût";102;5;2.5653;5.0
"remarquer";33;3;2.4507;3.0
"servis";10;2;2.433;3.5
"montrer";35;3;2.3777;2.0
"spectacles";218;7;2.3393;5.428571
"Auteur";340;9;2.3024;7.2222223
"puis";38;3;2.2764;6.0
"Romaines";12;2;2.272;7.5
"Atellans";12;2;2.272;5.5
"Ecrivains";12;2;2.272;6.0
"etc";40;3;2.2137;4.0
"hardiesse";13;2;2.2021;3.0
"Nous";129;5;2.1347;4.8
"pag";84;4;2.0999;6.25
"doctrine";44;3;2.0984;3.6666665
"proposition";44;3;2.0984;3.6666665
"paroles";249;7;2.0356;3.7142859
"ils";1621;6;-2.1502;7.333333
"une";1225;3;-2.4503;6.3333335
"à";3221;13;-3.4118;6.1538463
