"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"empêche";9;3;7.3538;2.0
"Martyre";9;3;7.3538;3.3333335
"Corneille";11;3;7.0612;4.0
"illustre";22;3;6.094;0.0
"M";26;3;5.8676;1.0
"disposition";35;3;5.469;6.0
"399";7;2;4.8613;4.5
"Octobre";8;2;4.7366;7.0
"martyre";9;2;4.6277;6.5
"parler";83;3;4.3342;6.0
"Consulat";13;2;4.2929;3.0
"fit";98;3;4.1192;8.0
"termes";110;3;3.9703;9.0
"pourquoi";140;3;3.6614;8.0
"Arcadius";27;2;3.6429;6.0
"très";147;3;3.5992;1.0
"passe";37;2;3.3671;4.0
"sous";203;3;3.1907;5.0
"c'";510;4;3.0672;5.25
"2";86;2;2.639;10.0
"an";90;2;2.6002;3.5
"au";757;4;2.4468;4.75
"ces";1286;5;2.3715;7.8
