"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"S";345;28;26.9047;1.0
"saint";160;19;21.67;0.0
".";6697;88;21.4182;3.659091
"2";86;11;13.1995;3.0
"passage";44;8;11.0529;3.875
"explication";14;5;8.7377;4.4
"167";3;3;7.2146;5.6666665
"selon";291;10;6.4838;2.4
"illicite";16;4;6.3766;6.5
"endroit";71;6;6.3716;2.5
"Histrions";214;8;5.577;4.875
"parle";151;7;5.5644;0.71428573
"q";9;3;5.298;3.6666665
"sa";487;11;5.2954;6.4545455
"métier";70;5;5.0356;5.8
"appuierai";2;2;4.8093;5.0
"quæst";2;2;4.8093;4.0
"Explication";3;2;4.3334;5.0
"168";4;2;4.0335;6.0
"derniers";24;3;3.9353;6.0
"sens";64;4;3.8989;4.25
"Ensuite";8;2;3.369;5.0
"cet";243;6;3.347;2.5
"divertissement";177;5;3.133;6.6
"art";186;5;3.0367;7.8
"entendu";12;2;3.0012;4.5
"siècles";51;3;2.9573;7.0
"Comédiens";296;6;2.9039;4.6666665
"Anges";14;2;2.8639;9.0
"réponse";14;2;2.8639;6.5
"siècle";59;3;2.774;5.6666665
"même";814;10;2.7665;5.1
"femme";69;3;2.5794;6.3333335
"péché";161;4;2.4017;6.5
"dit";850;9;2.1341;2.8888888
"veux";33;2;2.1219;7.0
"et";7449;13;-3.2919;7.9230766
"les";7221;10;-4.2818;4.6
