"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Valentinien";17;13;29.449;1.5384614
"Empereurs";90;19;28.9285;3.0
"Empereur";111;11;13.2087;1.6363637
"Spectacles";391;12;8.3912;6.5
"Code";14;4;7.0991;1.75
"Gratien";4;3;6.9649;4.3333335
"règne";38;5;6.9478;3.6
"Sozomene";5;3;6.568;7.666667
"Milan";27;4;5.8687;9.75
"dignes";66;5;5.7275;7.6000004
"Chrétiens";267;8;5.7233;5.5
"Gratian";2;2;5.0435;3.0
"Stilicon";3;2;4.5672;7.0
"défendent";20;3;4.5257;6.3333335
"loi";119;5;4.4742;5.2
"sous";203;6;4.3998;4.1666665
"titre";22;3;4.397;5.0
"97";4;2;4.2671;3.5
"après";230;6;4.1003;5.5
"victoires";5;2;4.0461;2.0
"répudier";5;2;4.0461;7.0
"Zozime";5;2;4.0461;4.0
"voulurent";6;2;3.8709;4.5
"Honorius";33;3;3.8584;3.6666665
"Léon";8;2;3.6015;1.5
"priver";8;2;3.6015;6.5
".";6697;36;3.1149;5.0833335
"Antiquité";15;2;3.0336;5.0
"du";1546;13;2.9918;5.3076925
"aucunes";18;2;2.8727;9.5
"livre";81;3;2.7108;5.3333335
"pag";84;3;2.6657;4.6666665
"veulent";23;2;2.6586;2.0
"intelligence";25;2;2.5863;8.0
"an";90;3;2.5806;4.3333335
"Arcadius";27;2;2.5199;1.0
"donna";29;2;2.4584;3.5
"Théodose";37;2;2.2503;9.0
"disent";41;2;2.1634;5.5
"lorsque";48;2;2.031;4.5
