"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Maxime";26;23;56.9341;0.0
"inébranlable";3;2;4.757;4.0
"Après";24;3;4.5614;8.333333
"avancée";4;2;4.4567;10.0
"dit";850;10;4.2678;1.3
"témoigne";36;3;4.0233;1.3333333
"Marseille";8;2;3.7905;3.5
"passage";44;3;3.7612;1.0
"rendre";119;4;3.6654;5.5
"inventés";10;2;3.5858;6.0
"avons";149;4;3.2952;7.5
"Dissertation";453;6;3.0389;8.333333
"bouffonner";26;2;2.7383;7.5
"Valère";31;2;2.5862;10.0
"veux";33;2;2.5324;7.0
"témoignage";40;2;2.3678;1.0
"Poète";44;2;2.2868;4.0
"sert";50;2;2.1787;8.0
"religion";53;2;2.1296;4.5
"exprès";58;2;2.0541;4.5
"pour";1697;10;2.0317;5.2
