"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Théologie";51;7;11.1881;6.714286
"Augustin";164;9;10.5525;5.3333335
"allégories";7;3;6.6909;2.6666667
"S";345;8;6.5406;4.75
"Philosophes";39;4;6.0852;6.0
"selon";291;6;4.7584;2.0
"fabuleuse";29;3;4.685;5.3333335
"mythologies";5;2;4.4891;3.5
"dit";850;8;3.7295;1.5
"savant";16;2;3.4156;1.0
"genre";30;2;2.8636;6.0
"actes";31;2;2.8352;6.5
"civile";33;2;2.781;9.5
"témoignage";40;2;2.6152;3.0
"livres";61;2;2.2557;6.0
"plutôt";67;2;2.1766;8.5
"choses";433;4;2.0827;4.25
